Ticker,Date,Headline,Article,Type
AAPL,12032018,Sharp Corp lays off 3 000 foreign staff  moves production to China - Nikkei ,Sharp Corp  has laid off more than 3 000 foreign workers in Japan as the Apple  supplier shifts production of iPhone sensors to a Chinese plant owned by parent Foxconn   the Nikkei business daily reported on Monday.,topStory
AAPL,12032018,Amazon briefly edges out Apple for most valuable company ,SAN FRANCISCO Amazon.com briefly became the most valuable company on Wall Street in intraday trade on Monday  days after Microsoft Corp dethroned long-time leader Apple Inc.,normal
AAPL,12032018,Sharp Corp lays off 3 000 foreign staff  moves production to China - Nikkei ,Dec 3 Sharp Corp has laid off more than 3 000 foreign workers in Japan as the Apple supplier shifts production of iPhone sensors to a Chinese plant owned by parent Foxconn  the Nikkei business daily reported on Monday.,normal
AAPL,12032018,UPDATE 3-Amazon briefly edges out Apple for most valuable company ,SAN FRANCISCO  Dec 3 Amazon.com briefly became the most valuable company on Wall Street in intraday trade on Monday  days after Microsoft Corp dethroned long-time leader Apple Inc.,normal
AAPL,12032018,US STOCKS-Wall Street rises as industrials  tech bounce on trade truce ,* Indexes up: Dow 0.87 pct  S&P 0.78 pct  Nasdaq 1.16 pct (Adds comments  updates prices to early afternoon),normal
AAPL,12032018,Amazon.com briefly becomes Wall Street's most valuable company ,SAN FRANCISCO  Dec 3 Amazon.com briefly became the most valuable company on Wall Street in intraday trade on Monday  days after Microsoft Corp dethroned long-time leader Apple.,normal
AAPL,12032018,Verizon  Samsung to release 5G smartphones in U.S. in 2019 ,Verizon Communications Inc and Samsung Electronics Co Ltd on Monday confirmed long-held industry expectations they would seek to steal a march on Apple Inc by launching U.S. 5G smartphones in the first half of 2019.,normal
AAPL,12032018,UPDATE 1-Verizon  Samsung to release 5G smartphones in U.S. in 2019 ,Dec 3 Verizon Communications Inc and Samsung Electronics Co Ltd on Monday confirmed long-held industry expectations they would seek to steal a march on Apple Inc by launching U.S. 5G smartphones in the first half of 2019.,normal
AAPL,12032018,CORRECTED-Verizon  Samsung to release 5G smartphones in U.S. in 2019 ,Dec 3 Verizon Communications Inc and Samsung Electronics Co Ltd said on Monday they plan to release 5G smartphones in the first half of 2019 in the United States.,normal
AAPL,12012018,Microsoft's market value overtakes Apple's to close out week ,SAN FRANCISCO Microsoft Corp's  stock market value closed above Apple Inc's  for the first time in eight years on Friday as the Windows maker benefited from growth in cloud computing while Apple was hit by investor concern about iPhone demand. | Video ,topStory
AAPL,11302018,Microsoft's market value overtakes Apple's to close out week ,SAN FRANCISCO  Nov 30 Microsoft Corp's stock market value closed above Apple Inc's for the first time in eight years on Friday as the Windows maker benefited from growth in cloud computing while Apple was hit by investor concern about iPhone demand.,topStory
AAPL,11302018,Amazon to allow Apple Music on its Echo speakers ,Amazon.com Inc said on Friday Apple Music will become available on its Echo smart speakers starting Dec. 17  signaling increasing collaboration between the tech heavyweights.,normal
AAPL,11302018,Amazon to allow Apple Music on its Echo speakers ,Nov 30 Amazon.com Inc said on Friday Apple Music will become available on its Echo smart speakers starting Dec. 17  signaling increasing collaboration between the tech heavyweights.,normal
AAPL,11292018,South Korea indicts group for leaking Samsung display tech to Chinese firm ,SEOUL  Nov 29 South Korean prosecutors on Thursday said they have indicted nine people on suspicion of leaking Samsung Electronics Co Ltd flexible display technology to a Chinese company.,normal
AAPL,11282018,Apple's iPhone XR is company's best-selling model  executive says ,Apple Inc's iPhone XR has been the company's best-selling iPhone model every day since it went on sale in mid-October  a company executive told Reuters on Wednesday.,topStory
AAPL,11282018,UPDATE 2-Apple's iPhone XR is company's best-selling model  executive says ,Nov 28 Apple Inc's iPhone XR has been the company's best-selling iPhone model every day since it went on sale in mid-October  a company executive told Reuters on Wednesday.,normal
AAPL,11282018,Microsoft's stock market value pulls ahead of Apple's ,SAN FRANCISCO Microsoft Corp's  stock market value surpassed Apple Inc's   pulling ahead by as much as $3 billion on Wednesday as the Windows software maker benefited from optimism about demand for cloud computing services.,normal
AAPL,11282018,UPDATE 1-Microsoft's stock market value pulls ahead of Apple's , (Adds detail on analysts' expectations  graphic)     By Noel Randewich     SAN FRANCISCO  Nov 28 Microsoft Corp's stock market value surpassed Apple Inc's  pulling ahead by as much as $3 billion on Wednesday as the Windows software maker benefited from optimism about demand for cloud computing services.     Shares of Microsoft jumped 3 percent  pushing its market capitalization up to $848 billion. With the broad market rebounding from a recent slump  Apple also rose  but less than M,normal
