Ticker,Date,Headline,Article,Type
AAPL,12062018,UPDATE 2-Apple supplier Lumentum gets China approval for Oclaro deal ,Dec 6 Lumentum Holdings Inc  seen by analysts as a parts supplier for Apple Inc's Face ID technology  said on Thursday it received antitrust clearance from China for its $1.7 billion acquisition of Oclaro Inc .,topStory
AAPL,12062018,UPDATE 2-Broadcom earnings beat on strong demand for data center products ,Dec 6 Broadcom Inc on Thursday reported quarterly revenue and profit above analysts' estimates  driven by strong demand for its enterprise storage and networking products from data centers  sending its shares up 5 percent in extended trading.,normal
AAPL,12062018,Top Huawei executive arrested on U.S. request  clouding China trade truce ,VANCOUVER/BEIJING The daughter of Huawei's founder  a top executive at the Chinese technology giant  was arrested in Canada and faces extradition to the United States  stirring up fears it could reignite a Sino-U.S. trade row and roiling global stock markets. | Video ,normal
AAPL,12062018,UPDATE 10-Top Huawei executive arrested on U.S. request  clouding China trade truce ,* Global stocks fall  U.S. stocks open down over 1 pct (Updates with Wall St open  recasts),normal
AAPL,12062018,Apple supplier Lumentum receives China approval for Oclaro deal ,Dec 6 Apple supplier Lumentum Holdings said on Thursday it received antitrust clearance from China for its $1.7 billion acquisition of Oclaro Inc.,normal
AAPL,12062018,Australia passes bill to force tech firms to hand over encrypted data ,SYDNEY Australia's parliament on Thursday passed a bill to force tech firms such as Alphabet Inc's Google   Facebook  and Apple  to give police access to encrypted data  the most far-reaching such requirements imposed by a western country.,normal
AAPL,12052018,UPDATE 1-Apple assembler Foxconn considering iPhone factory in Vietnam -state media ,HANOI  Dec 4 Foxconn  the world's biggest electronics contract manufacturer and a key Apple Inc supplier  is considering setting up a factory in Vietnam to mitigate any impact of an ongoing trade war between the United States and China  Vietnamese state media reported.,topStory
AAPL,12042018,US STOCKS-Wall Street drops on trade truce doubts  bond market jitters ,* Indexes down: Dow 0.80 pct  S&P 0.81 pct  Nasdaq 0.98 pct (Adds comments  updates prices),normal
AAPL,12042018,US STOCKS-Wall Street drops on trade truce doubts  bond market jitters ,* Indexes down: Dow 0.67 pct  S&P 0.53 pct  Nasdaq 0.62 pct (Updates to open),normal
AAPL,12042018,US STOCKS-Wall St to open lower on trade deal doubt  bond market nerves ,* U.S. yield curve's short end inverts for first time since 2007,normal
AAPL,12032018,Amazon briefly edges out Apple for most valuable company ,SAN FRANCISCO Amazon.com briefly became the most valuable company on Wall Street in intraday trade on Monday  days after Microsoft Corp dethroned long-time leader Apple Inc.,topStory
AAPL,12032018,Sharp Corp lays off 3 000 foreign staff  moves production to China - Nikkei ,Dec 3 Sharp Corp has laid off more than 3 000 foreign workers in Japan as the Apple supplier shifts production of iPhone sensors to a Chinese plant owned by parent Foxconn  the Nikkei business daily reported on Monday.,normal
AAPL,12032018,UPDATE 3-Amazon briefly edges out Apple for most valuable company ,SAN FRANCISCO  Dec 3 Amazon.com briefly became the most valuable company on Wall Street in intraday trade on Monday  days after Microsoft Corp dethroned long-time leader Apple Inc.,normal
AAPL,12032018,US STOCKS-Wall Street rises as industrials  tech bounce on trade truce ,* Indexes up: Dow 0.87 pct  S&P 0.78 pct  Nasdaq 1.16 pct (Adds comments  updates prices to early afternoon),normal
