date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap,change1D,change2D,change3D,change7D,future1D,future2D,future3D,future7D,NASDAQclose,NASDAQchange1D,compToNASDAQ
12/9/13,0.840417,0,1.145,74.2649,74.6779,73.5399,73.5399,11446219,80123533,74.2725,,,,,-0.155389693,-0.895039245,-1.039925995,-2.764697724,35.6838,,
12/10/13,-0.115375,-0.001553897,-0.155,74.1495,74.455,73.5792,73.8912,9938230,69567610,77.5439,-0.155389693,,,,-0.74080068,-0.885912919,-1.966162955,-3.729087856,35.6655,-0.051283776,FALSE
12/11/13,-0.549356,-0.008950392,-0.741,73.6002,74.8601,73.3812,74.3396,12847099,89929693,74.0974,-0.74080068,-0.895039245,,,-0.146195255,-1.234507515,-0.687634001,-2.198363591,35.6195,-0.128976181,FALSE
12/12/13,-0.10751,-0.01039926,-0.146,73.4926,74.122,73.4258,73.7026,9367474,65572318,73.7097,-0.146195255,-0.885912919,-1.039925995,,-1.08990565,-0.542231463,-0.990031649,1.703708945,35.6931,0.206628392,FALSE
12/13/13,-0.801084,-0.021184974,-1.09,72.6916,73.7994,72.5919,73.7955,11886469,83205283,72.9645,-1.08990565,-1.234507515,-1.966162955,,0.553709094,0.100974528,-0.660186321,2.388033831,35.4723,-0.618606958,FALSE
12/16/13,0.402509,-0.015765187,0.554,73.0941,73.7678,72.7676,72.7689,10092636,70648452,73.6286,0.553709094,-0.542231463,-0.687634001,,-0.450241538,-1.207210979,-2.339039676,1.147972271,35.6287,0.440907412,TRUE
12/17/13,-0.329087,-0.02019662,-0.45,72.765,73.3484,72.5532,72.8725,8210807,57475649,74.399,-0.450241538,0.100974528,-0.990031649,,-0.760393046,-1.897340754,-1.075791933,0.918848347,36.1716,1.523771566,FALSE
12/18/13,-0.553285,-0.027646977,-0.76,72.2117,72.3008,70.6423,72.0714,20209401,141465807,71.5217,-0.760393046,-1.207210979,-0.660186321,-2.764697724,-1.145659221,-0.317815534,3.50774182,0.680914589,36.4338,0.724878081,FALSE
12/19/13,-0.827309,-0.038786829,-1.146,71.3844,72.1107,71.2887,72.0452,11462767,80239369,71.6091,-1.145659221,-1.897340754,-2.339039676,-3.729087856,0.837437872,4.707331013,4.262976224,3.041560901,36.3096,-0.340892248,FALSE
12/20/13,0.597864,-0.030737266,0.838,71.9822,72.3218,71.4313,71.5116,15586205,109103435,71.9809,0.837437872,-0.317815534,-1.075791933,-2.198363591,3.837754334,3.397089836,2.710392291,0.748657307,36.7697,1.267157997,TRUE
12/23/13,2.7625,0.006460656,3.838,74.7447,74.8273,73.7837,74.4707,17903833,125326831,74.4027,3.837754334,4.707331013,3.50774182,1.703708945,-0.424377916,-1.085695708,-1.754104304,-5.106181442,36.5857,-0.500412024,TRUE
12/24/13,-0.317288,0.00218946,-0.424,74.4275,74.9794,74.2124,74.7185,5984105,41888735,74.5717,-0.424377916,3.397089836,4.262976224,2.388033831,-0.66413624,-1.335393504,-2.316482483,-4.182056364,36.7237,0.377196555,FALSE
