Ticker,Date,Headline,Article,Type
AMZN,12082018,Foie gras off Amazon.com's menu in California after settlement ,Amazon.com Inc has agreed not to sell foie gras in California from birds that have been force fed and pay $100 000 in penalties and costs as part of a lawsuit settlement  a prosecutor said Friday.,topStory
AMZN,12082018,Foie gras off Amazon.com's menu in California after settlement ,Dec 7 Amazon.com Inc has agreed not to sell foie gras in California from birds that have been force fed and pay $100 000 in penalties and costs as part of a lawsuit settlement  a prosecutor said Friday.,normal
AMZN,12072018,Exclusive: Amazon targets airports for checkout-free store expansion ,Amazon.com Inc  is looking at bringing its futuristic checkout-free store format to airports in an effort to win business from hungry  time-pressed travelers  according to public records and a person familiar with the strategy. |Â Video ,topStory
AMZN,12072018,Former NBA player Bridgeman in the lead to buy Sports Illustrated magazine: sources ,"Ulysses Lee ""Junior"" Bridgeman  a former U.S. basketball player who became a fast-food mogul  is in the lead to acquire Sports Illustrated magazine from U.S. media company Meredith Corp  for about $150 million  people familiar with the matter said on Friday.",normal
AMZN,12072018,Former NBA player Bridgeman in the lead to buy Sports Illustrated magazine -sources ,"Dec 7 Ulysses Lee ""Junior"" Bridgeman  a former U.S. basketball player who became a fast-food mogul  is in the lead to acquire Sports Illustrated magazine from U.S. media company Meredith Corp for about $150 million  people familiar with the matter said on Friday.",normal
AMZN,12062018,Walgreens to link up with FedEx on next-day drug delivery as Amazon nears ,Walgreens Boots Alliance said on Thursday it would partner with FedEx Corp to launch a next-day delivery service for prescription drugs nationwide  giving it a leg up as Amazon threatens to shake-up the sector.,topStory
AMZN,12062018,Walgreens to link up with FedEx on next-day drug delivery as Amazon nears ,Dec 6 Walgreens Boots Alliance said on Thursday it would partner with FedEx Corp to launch a next-day delivery service for prescription drugs nationwide  giving it a leg up as Amazon threatens to shake-up the sector.,normal
AMZN,12052018,New Yorkers overwhelmingly support Amazon campus in Queens: poll ,NEW YORK New Yorkers by a wide margin approve of plans for Amazon.com Inc  to build a massive new campus in the city  although they are divided over terms of a multibillion-dollar incentive package used to lure the largest U.S. online retailer  according to poll results released on Wednesday.,topStory
AMZN,12052018,Trump panel wants to give USPS right to hike prices for Amazon  others ,WASHINGTON The United States Postal Service should have more flexibility to raise rates for packages  according to recommendations from a task force set up by President Donald Trump  a move that could hurt profits of Amazon.com Inc and other large online retailers. |Â Video ,normal
AMZN,12052018,Trump panel wants to give USPS right to hike prices for Amazon  others ,WASHINGTON The United States Postal Service should have more flexibility to raise rates for packages  according to recommendations from a task force set up by President Donald Trump  a move that could hurt profits of Amazon.com Inc and other large online retailers. The task force was announced in April to find ways to stem financial losses by the service  an independent agency within the federal government. Its creation followed criticism by Trump that the Postal Office provided too ,normal
AMZN,12042018,UPDATE 2-Trump panel wants to give USPS right to hike prices for Amazon  others ,WASHINGTON  Dec 4 The United States Postal Service should have more flexibility to raise rates for packages  according to recommendations from a task force set up by President Donald Trump  a move that could hurt profits of Amazon.com Inc and other large online retailers.,topStory
AMZN,12042018,Corporate tax breaks cost U.S. schools billions of lost revenue: report ,Corporate tax subsidies  in the spotlight again after Amazon.com Inc's  secretive quest to find a site for its second headquarters  are costing American public schools big money  according to a report issued on Tuesday.,normal
AMZN,12042018,UPDATE 2-Corporate tax breaks cost U.S. schools billions of lost revenue -report ,Dec 4 Corporate tax subsidies  in the spotlight again after Amazon.com Inc's secretive quest to find a site for its second headquarters  are costing American public schools big money  according to a report issued on Tuesday.,normal
AMZN,12042018,EU ministers fail to break digital tax deadlock ,BRUSSELS European Union finance ministers failed to agree a tax on digital revenues on Tuesday  despite a last minute Franco-German plan to salvage the proposal by narrowing its focus to companies like Google  and Facebook .,normal
AMZN,12042018,REFILE-UPDATE 2-EU ministers fail to break digital tax deadlock ,BRUSSELS  Dec 4 European Union finance ministers failed to agree a tax on digital revenues on Tuesday  despite a last minute Franco-German plan to salvage the proposal by narrowing its focus to firms like Google and Facebook .,normal
AMZN,12042018,Postal service should be allowed to charge more for packages -task force ,WASHINGTON  Dec 4 The United States Postal Service should have more flexibility to raise rates and should have the authority to charge market rates to deliver most packages  according to a task force created following criticism by President Donald Trump that it provides too much service to Amazon.com for too little money.,normal
AMZN,12042018,Tech giants in spotlight as EU lawmakers consider strong action ,BRUSSELS Google   Amazon   Apple  and other tech giants face one of their biggest challenges this week as a key EU lawmaking committee prepares to take a tough stance on legislation designed to curb their power and boost the rights of businesses.,normal
AMZN,12042018,Corporate tax breaks cost U.S. schools billions of lost revenue -report ,Dec 4 Corporate tax subsidies  in the spotlight again after Amazon.com Inc's secretive quest to find a site for its second headquarters  are costing American public schools big money  a report will say on Tuesday.,normal
AMZN,12032018,Amazon briefly edges out Apple for most valuable company ,SAN FRANCISCO Amazon.com briefly became the most valuable company on Wall Street in intraday trade on Monday  days after Microsoft Corp dethroned long-time leader Apple Inc.,topStory
AMZN,12032018,UPDATE 3-Amazon briefly edges out Apple for most valuable company ,SAN FRANCISCO  Dec 3 Amazon.com briefly became the most valuable company on Wall Street in intraday trade on Monday  days after Microsoft Corp dethroned long-time leader Apple Inc.,normal
AMZN,12032018,Amazon.com briefly becomes Wall Street's most valuable company ,SAN FRANCISCO  Dec 3 Amazon.com briefly became the most valuable company on Wall Street in intraday trade on Monday  days after Microsoft Corp dethroned long-time leader Apple.,normal
AMZN,12022018,Amazon tests cashierless tech for stores with bigger spaces: WSJ ,Amazon.com Inc  is testing its cashierless checkout technology for bigger stores with larger spaces and experimenting the technology in Seattle  the Wall Street Journal reported on Sunday.,topStory
AMZN,12022018,Amazon tests cashierless tech for stores with bigger spaces -WSJ ,Dec 2 Amazon.com Inc is testing its cashierless checkout technology for bigger stores with larger spaces and experimenting the technology in Seattle  the Wall Street Journal reported on Sunday.,normal
AMZN,11302018,Amazon to allow Apple Music on its Echo speakers ,Amazon.com Inc said on Friday Apple Music will become available on its Echo smart speakers starting Dec. 17  signaling increasing collaboration between the tech heavyweights.,topStory
AMZN,11302018,Amazon to allow Apple Music on its Echo speakers ,Nov 30 Amazon.com Inc said on Friday Apple Music will become available on its Echo smart speakers starting Dec. 17  signaling increasing collaboration between the tech heavyweights.,normal
AMZN,11302018,Amazon sued for firing black  Latino drivers after background checks ,Amazon.com Inc on Thursday was accused of firing a disproportionate number of black and Latino delivery drivers in Massachusetts after conducting criminal background checks on them.,normal
AMZN,11292018,Amazon's treatment of sellers comes under scrutiny in Germany ,BERLIN Germany's antitrust authority has launched an investigation into whether U.S. ecommerce giant Amazon is exploiting its market dominance in its relations with third-party retailers who use its website as a marketplace. |Â Video ,topStory
AMZN,11292018,UPDATE 2-PVH falls short of revenue estimates on softness in Calvin Klein ,Nov 29 Apparel maker PVH Corp reported quarterly revenue on Thursday that missed Wall Street estimates for the first time in at least two years  due to weakness in its Calvin Klein business  sending its shares down nearly 8 percent after-hours.,normal
AMZN,11292018,Factbox: Amazon to get billions in breaks for HQ2 development , (The Factbox updated on Nov. 15 corrects to fix total New York City incentive figure to $2.81 billion from $1.525 billion.),normal
AMZN,11292018,Amazon picks New York City  Washington D.C. area for new offices ,SAN FRANCISCO/WASHINGTON Amazon.com Inc  picked America's financial and political capitals for massive new offices on Tuesday  branching out from its home base in Seattle with plans to create more than 25 000 jobs in both New York City and an area just outside Washington  D.C. |Â Video ,normal
AMZN,11292018,UPDATE 2-Amazon's treatment of sellers comes under scrutiny in Germany ,* German antitrust watchdog receives many complaints from traders,normal
AMZN,11292018,RPT-UPDATE 1-German antitrust watchdog launches probe into Amazon ,BERLIN  Nov 29 Germany's antitrust authority has launched an investigation into whether U.S. ecommerce giant Amazon is exploiting its market dominance in its relations with third-party retailers who use its website as a marketplace.,normal
AMZN,11292018,German antitrust watchdog launches probe into Amazon ,BERLIN  Nov 29 Germany's antitrust authority has launched an investigation into whether U.S. ecommerce giant Amazon is exploiting its market position in its relations with other retailers who use its website at a marketplace.,normal
AMZN,11292018,Amazon's latest gadget: a self-driving toy car for coders ,LAS VEGAS Self-driving cars  meet Amazon's self-driving toys.,normal
AMZN,11282018,Amazon launches machine learning chip  taking on Nvidia  Intel ,Amazon.com on Wednesday launched a microchip aimed at so-called machine learning  entering a market that both Intel Corp and Nvidia Corp are counting on to boost their earnings in the coming years.,topStory
AMZN,11282018,Amazon launches machine learning chip  taking on Nvidia  Intel ,Nov 28 Amazon.com on Wednesday launched a microchip aimed at so-called machine learning  entering a market that both Intel Corp and Nvidia Corp are counting on to boost their earnings in the coming years.,normal
AMZN,11282018,Vandals cause 8 000 barrels of oil to spill in Peruvian Amazon ,LIMA Peru state oil company Petroperu said approximately 8 000 barrels of crude oil had spilled in the Amazon after vandals severed the pipeline and then impeded technicians seeking to repair the damaged pipe.,normal
AMZN,11282018,Vandals cause 8 000 barrels of oil to spill in Peruvian Amazon ,LIMA  Nov 28 Peru state oil company Petroperu said approximately 8 000 barrels of crude oil had spilled in the Amazon after vandals severed the pipeline and then impeded technicians seeking to repair the damaged pipe.,normal
AMZN,11282018,UPDATE 2-LondonMetric sees higher demand for distribution centres ahead of Brexit ,* LondonMetric has seen demand from automotive  healthcare sector,normal
AMZN,11272018,Amazon adds antenna service for satellite data; courts space industry ,LAS VEGAS Amazon.com Inc  said on Tuesday it was starting a new antenna service for uploading and downloading data from satellites  in a bid to lure space industry and other customers to the cloud.,topStory
AMZN,11272018,UPDATE 1-Amazon adds antenna service for satellite data; courts space industry ,LAS VEGAS  Nov 27 Amazon.com Inc said on Tuesday it was starting a new antenna service for uploading and downloading data from satellites  in a bid to lure space industry and other customers to the cloud.,normal
AMZN,11272018,Amazon adds antenna service for satellite data; courts space industry ,LAS VEGAS  Nov 27 Amazon.com Inc on Tuesday said it was starting a new antenna service for uploading and downloading data from satellites  in a bid to lure more space industry customers to the cloud.,normal
AMZN,11272018,Cyber Monday on track for U.S. online shopping record ,Cyber Monday was on track to bring in a record $7.9 billion in U.S. online sales  as millions of shoppers scoured for steep discounts on everything from Lego sets to big-screen TVs. |Â Video ,normal
AMZN,11272018,Airbnb hires Amazon veteran as CFO ahead of potential IPO ,Home-renting company Airbnb Inc on Monday hired Amazon.com Inc  veteran Dave Stephenson as chief financial officer (CFO)  ahead of a widely anticipated initial public offering next year.,normal
AMZN,11272018,UPDATE 2-Airbnb hires Amazon veteran as CFO ahead of potential IPO ,Nov 26 Home-renting company Airbnb Inc on Monday hired Amazon.com Inc veteran Dave Stephenson as chief financial officer (CFO)  ahead of a widely anticipated initial public offering next year.,normal
AMZN,11272018,UPDATE 6-Cyber Monday on track for U.S. online shopping record ,Nov 26 Cyber Monday was on track to bring in a record $7.9 billion in U.S. online sales  as millions of shoppers scoured for steep discounts on everything from Lego sets to big-screen TVs.,normal
AMZN,11262018,Amazon: Eyes best day in nearly three weeks as Cyber Monday begins ,** E-commerce giant's shares up 2.1 pct premarket at $1533 as Cyber Monday kicks off - set for best day in nearly three weeks if gains hold,topStory
AMZN,11262018,Airbnb hires Amazon veteran as CFO ,Nov 26 Home-renting company Airbnb Inc said on Monday it hired Amazon.com Inc veteran Dave Stephenson as chief financial officer.,normal
AMZN,11232018,Amazon workers strike in Germany  Spain on Black Friday ,BERLIN/MADRID Workers at Amazon logistic centers in Germany and Spain staged strikes on Friday  walking off the job on Black Friday  the discount spending spree that kicks-off the start of the crucial Christmas shopping season.,topStory
AMZN,11232018,Amazon workers strike in Germany  Spain on Black Friday ,BERLIN/MADRID  Nov 23 Workers at Amazon logistic centres in Germany and Spain staged strikes on Friday  walking off the job on Black Friday  the discount spending spree that kicks-off the start of the crucial Christmas shopping season.,normal
AMZN,11232018,Online surge  long lines mark start of Thanksgiving sales ,NEW YORK  Nov 23 U.S. shoppers hit department stores on Thanksgiving evening and spent $1.75 billion online by 5 p.m. ET as a strong economy and rising wages drove a solid start to the holiday selling season.,normal
AMZN,11222018,Amazon re-opens U.S. store to Australian shoppers after backlash ,SYDNEY Amazon.com Inc  said on Thursday it would stop blocking Australians from shopping on its U.S. site after a customer backlash  unwinding a move which has tarnished the e-commerce giant's launch in the world's 12th-largest economy. |Â Video ,topStory
AMZN,11222018,UPDATE 2-Amazon re-opens U.S. store to Australian shoppers after backlash ,* Amazon says dropped it after customer feedback (Adds quotes from Amazon  customer and eBay  details on tax issue),normal
AMZN,11212018,Amazon stops blocking Australians from its U.S website after backlash ,SYDNEY  Nov 22 Amazon.com Inc said on Thursday it would stop blocking Australians from shopping on its much larger U.S. site after a customer backlash  dumping an unpopular policy the retail giant had said was necessary to comply with Australian tax law.,topStory
AMZN,11212018,Wall St Week Ahead-Investors caught in crossfire of fight for holiday shoppers ,NEW YORK  Nov 21 Investors would normally be thankful for a strong U.S. economy  yet this holiday season they worry retailers may have to spend heavily to win  leaving shareholders with a lump of coal.,normal
AMZN,11212018,Foot Locker shares soar after Air Max boost ,Foot Locker  shares jumped 20 percent on Wednesday after third-quarter results showed shoe sales turning back to growth thanks to a boost from Nike's latest lines  heading off fears it was losing out to Amazon  and other online stores.,normal
AMZN,11212018,Foot Locker shares soar after Air Max boost ,Nov 21 Foot Locker shares jumped 20 percent on Wednesday after third-quarter results showed shoe sales turning back to growth thanks to a boost from Nike's latest lines  heading off fears it was losing out to Amazon and other online stores.,normal
AMZN,11212018,GLOBAL MARKETS-World stocks try to find feet after tech-driven rout ,* World stocks flat after big falls; Wall Street set for bounce,normal
AMZN,11212018,Amazon opens Spanish pop-up store to showcase its wares ,MADRID Amazon on Wednesday opened its first pop-up store in Spain in an old building in one of Madrid's prime shopping districts styled as a house with everything for sale  from electronic goods to video games to clothing.,normal
AMZN,11212018,Amazon opens Spanish pop-up store to showcase its wares ,MADRID  Nov 21 Amazon on Wednesday opened its first pop-up store in Spain in an old building in one of Madrid's prime shopping districts styled as a house with everything for sale  from electronic goods to video games to clothing.,normal
AMZN,11212018,GLOBAL MARKETS-World stocks struggle to find feet after tech-driven rout ,* World stocks flat after big falls; Wall Street set for bounce,normal
AMZN,11202018,Amazon  Blackstone among bidders for 22 Disney sports networks: CNBC ,Amazon.com Inc and private equity firm Blackstone Group are bidding for Walt Disney Co's 22 regional sports networks  including New York-focused Yes Network  CNBC reported on Tuesday  citing sources familiar with the matter.,topStory
AMZN,11202018,UPDATE 2-Amazon  Blackstone among bidders for 22 Disney sports networks- CNBC ,Nov 20 Amazon.com Inc and private equity firm Blackstone Group are bidding for Walt Disney Co's 22 regional sports networks  including New York-focused Yes Network  CNBC reported on Tuesday  citing https://cnb.cx/2BlKU1H sources familiar with the matter.,normal
AMZN,11202018,Amazon bids for Disney's 22 sports networks- CNBC ,Nov 20 Amazon.com Inc has bid for Walt Disney Co's 22 regional sports networks  including Yes Network  CNBC reported on Tuesday  citing sources familiar with the matter.,normal
AMZN,11202018,Kohl's tops same-store sales estimates  raises forecast ,Nov 20 Department store operator Kohl's Corp reported better-than-expected quarterly same-store sales on Tuesday  benefiting from its revamped stores and merchandise as well as its partnerships with Amazon.com and Under Armour.,normal
AMZN,11192018,Amazon  T-Mobile say plaintiffs suing over Facebook job ads have nothing in common ,Amazon.com Inc and T-Mobile US Inc have told a federal judge that Cox Communications Inc's bid to sever itself from a lawsuit accusing the companies of blocking older people from seeing their job ads posted on Facebook underscores why the plaintiffs cannot move forward as a class.,topStory
AMZN,11152018,U.S. Postal Service posts loss  even as package deliveries rise , (This November 14 story corrects headline and fourth paragraph to show loss did not triple.),topStory
AMZN,11152018,REFILE-Apple partners with Oscar-winning movie studio A24 for feature films ,"Nov 15 Apple Inc has inked a multi-year deal with A24  the studio behind Oscar-winning projects ""Moonlight"" and ""Amy""  a source familiar with the plans told Reuters  as the iPhone maker pushes deeper into original content and movies.",normal
AMZN,11152018,CORRECTED-U.S. Postal Service posts loss  even as package deliveries rise ,WASHINGTON  Nov 14 The U.S. Postal Service lost almost $4 billion in 2018 even as package deliveries rose  according to results released on Wednesday  giving U.S. President Donald Trump potential ammunition against Amazon.com Inc  which he claims pays  too little for the agency's services.,normal
AMZN,11152018,CORRECTED-UPDATE 1-U.S. Postal Service posts loss  even as package deliveries rise ,WASHINGTON  Nov 14 The U.S. Postal Service lost almost $4 billion in 2018 even as package deliveries rose  according to results released on Wednesday  potentially giving U.S. President Donald Trump ammunition against Amazon.com Inc   which he claims pays  too little for the agency's services.,normal
AMZN,11152018,Airspace Technologies raises $20 million as investors pile into logistics startups ,SAN FRANCISCO The latest startup aiming to bring new technology to the business of moving around cargo has raised $20 million in fresh funding  bolstering an already record year of fundraising for companies in the shipping and logistics sector.,normal
AMZN,11152018,Airspace Technologies raises $20 mln as investors pile into logistics startups ,SAN FRANCISCO  Nov 15 The latest startup aiming to bring new technology to the business of moving around cargo has raised $20 million in fresh funding  bolstering an already record year of fundraising for companies in the shipping and logistics sector.,normal
AMZN,11152018,Breakingviews - Chinese phenom Pinduoduo has some explaining to do ,"HONG KONG (Reuters Breakingviews) - The boss of a leading Chinese e-commerce group was asked recently what job other than the current one  would be most interesting to consider. The answer: receptionist at rival Pinduoduo  ""because Iâ€™d like to know how they do it."" Investors may have a similar response following a report from an American fund betting against the $19 billion three-year-old firm  once dubbed the worldâ€™s fastest-growing internet seller  that claims it has been fiddling with its num",normal
AMZN,11142018,Fed Circuit sides with Netflix  Amazon over â€˜abstractâ€™ digital rights patent ,A federal appeals court on Tuesday dealt a likely final blow to a lawsuit accusing streaming services Netflix Inc  Amazon.com Inc  and Hulu LLC of infringing a patent relating to digital rights management (DRM).,topStory
AMZN,11132018,UPDATE 6-Amazon picks New York City  Washington D.C. area for new offices ,* Amazon sees wage of $150 000-plus for employees at new sites (Adds detail on helipads  Google competition  governor and analyst quotes),topStory
AMZN,11132018,Breakingviews - Jeff Bezos spreads jobs and disappointment ,NEW YORK (Reuters Breakingviews) - Jeff Bezos is spreading jobs and disappointment by splitting his ballyhooed second headquarters between New York City and greater Washington  D.C. The decision enables the Amazon boss to tap two of the nationâ€™s deepest pools of technology talent. The unconventional choice of two conventional cities also aggravates the socioeconomic divisions that plague America.,normal
AMZN,11132018,Amazon to announce investments in NY  Virginia  Nashville: source ,WASHINGTON Amazon.com Inc is announcing on Tuesday a major investment in Nashville  Tennessee along with confirming it is adding two new headquarters in New York and northern Virginia  a person briefed on the matter said.,normal
AMZN,11132018,Amazon to announce investments in NY  Virginia  Nashville -- source ,WASHINGTON  Nov 13 Amazon.com Inc is announcing on Tuesday a major investment in Nashville  Tennessee along with confirming it is adding two new headquarters in New York and northern Virginia  a person briefed on the matter said.,normal
AMZN,11132018,Amazon to pick NYC  Northern Virginia for split 'HQ2': source ,WASHINGTON Amazon.com Inc  will on Tuesday announce it has selected New York and Northern Virginia for its second headquarters  a source told Reuters  ending a more than year-long contest that has seen frenzied bidding from locales across North America. |Â Video ,normal
AMZN,11132018,"UPDATE 3-Amazon to pick NYC  Northern Virginia for split ""HQ2"" - source ",WASHINGTON  Nov 12 Amazon.com Inc will on Tuesday announce it has selected New York and Northern Virginia for its second headquarters  a source told Reuters  ending a more than year-long contest that has seen frenzied bidding from locales across North America.,normal
AMZN,11132018,REFILE-Amazon picks NYC and Northern Virginia for additional headquarters - WSJ ,Nov 12 Amazon.com Inc could announce as early as Tuesday that it has selected New York City and Northern Virginia to be the sites for its second and third headquarters  the Wall Street Journal reported https://on.wsj.com/2RQ2T5P on Monday.,normal
AMZN,11122018,REUTERS SUMMIT-Citron's Left covered Facebook short  still bearish on Netflix ,NEW YORK  Nov 12 Andrew Left has covered his short position on Facebook Inc  due to its booming Instagram business  but is still betting on a decline in Netflix Inc shares  the activist short-seller told Reuters on Monday.,normal
