date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap,change1D,change2D,change3D,change7D,future1D,future2D,future3D,future7D,NASDAQclose,NASDAQchange1D,compToNASDAQ
12/9/13,-2.06,0,-0.532,384.89,388.21,382.57,388.11,2766573,2766573,384.4892,,,,,0.750863883,-0.70149913,-0.945724753,2.876146431,35.6838,,
12/10/13,2.89,0.007508639,0.751,387.78,389.06,383.02,383.74,2739875,2739875,387.0167,0.750863883,,,,-1.441539017,-1.683944505,-0.912888751,1.910877302,35.6655,-0.051283776,TRUE
12/11/13,-5.59,-0.007014991,-1.442,382.19,388.98,382,387.34,2451254,2451254,386.2515,-1.441539017,-0.70149913,,,-0.245950967,0.536382428,1.773986761,5.235615793,35.6195,-0.128976181,FALSE
12/12/13,-0.94,-0.009457248,-0.246,381.25,385,379.5,381.26,2123652,2123652,381.953,-0.245950967,-1.683944505,-0.945724753,,0.784262295,2.024918033,1.678688525,5.683934426,35.6931,0.206628392,FALSE
12/13/13,2.99,-0.001688794,0.784,384.24,389.42,383.8,385.32,3025145,3025145,386.6439,0.784262295,0.536382428,-0.912888751,,1.231001457,0.887466167,3.050176973,3.893399958,35.4723,-0.618606958,TRUE
12/16/13,4.73,0.010600431,1.231,388.97,391.7,385,385.03,2258884,2258884,386.7262,1.231001457,2.024918033,1.773986761,,-0.339357791,1.797053757,1.599095046,3.964316014,35.6287,0.440907412,TRUE
12/17/13,-1.32,0.00717088,-0.339,387.65,391.36,386.5,390.65,2348377,2348377,392.3755,-0.339357791,0.887466167,1.678688525,,2.143686315,1.945053528,3.753385786,2.690571392,36.1716,1.523771566,FALSE
12/18/13,8.31,0.028761464,2.144,395.96,396.3,383.1,389.23,3493635,3493635,390.0149,2.143686315,1.797053757,3.050176973,2.876146431,-0.194464087,1.575916759,1.757753308,-0.654106475,36.4338,0.724878081,TRUE
12/19/13,-0.77,0.026760893,-0.194,395.19,397.29,392.6,394.27,2429598,2429598,395.356,-0.194464087,1.945053528,1.599095046,1.910877302,1.773830309,1.956021154,1.014701789,0.910954225,36.3096,-0.340892248,FALSE
12/20/13,7.01,0.044973889,1.774,402.2,404.72,395.78,396.55,5038537,5038537,401.1329,1.773830309,1.575916759,3.753385786,5.235615793,0.179015415,-0.745897563,0.544505221,-1.051715564,36.7697,1.267157997,TRUE
12/23/13,0.72,0.046844553,0.179,402.92,405,399.2,403.69,2661823,2661823,402.2857,0.179015415,1.956021154,1.757753308,5.683934426,-0.923260201,0.364836692,-1.201231014,-1.608259704,36.5857,-0.500412024,TRUE
12/24/13,-3.72,0.037179454,-0.923,399.2,403.7249,396.37,402.52,1380373,1380373,399.4538,-0.923260201,-0.745897563,1.014701789,3.893399958,1.3001002,-0.280561122,-1.460420842,-1.395290581,36.7237,0.377196555,FALSE
12/26/13,5.19,0.050663826,1.3,404.39,404.52,396.81,401.79,1871590,1871590,401.8815,1.3001002,0.364836692,0.544505221,3.964316014,-1.560374886,-2.725092114,-1.3848018,-1.572739187,36.7881,0.175363594,TRUE
12/27/13,-6.31,0.034269532,-1.56,398.08,405.63,396.25,404.65,1987280,1987280,399.9122,-1.560374886,-0.280561122,-1.201231014,2.690571392,-1.18317926,0.178356109,-0.027632637,0.964630225,36.7329,-0.150048521,FALSE
12/30/13,-4.71,0.022032269,-1.183,393.37,399.92,392.45,399.41,2487812,2487812,394.7291,-1.18317926,-2.725092114,-1.460420842,-0.654106475,1.377837659,1.169382515,0.780435722,1.94219183,36.6501,-0.225411008,FALSE
12/31/13,5.42,0.036114214,1.378,398.79,398.83,393.8,394.58,1997051,1997051,396.921,1.377837659,0.178356109,-1.3848018,0.910954225,-0.205622007,-0.58928258,-1.29391409,-0.283357155,36.6225,-0.075306752,TRUE
1/2/14,-0.82,0.033983736,-0.206,397.97,399.36,394.02,398.8,2140246,2140246,395.1701,-0.205622007,1.169382515,-0.027632637,-1.051715564,-0.384451089,-1.090534462,0.015076513,-1.7564138,36.0704,-1.507543177,FALSE
1/3/14,-1.53,0.030008574,-0.384,396.44,402.71,396.22,398.29,2213512,2213512,398.9698,-0.384451089,-0.58928258,0.780435722,-1.608259704,-0.708808395,0.401069519,1.382302492,0.277469478,36.6041,1.479606547,FALSE
1/6/14,-2.81,0.022707787,-0.709,393.63,397,388.42,395.85,3172207,3172207,391.903,-0.708808395,-1.090534462,-1.29391409,-1.395290581,1.117800981,2.106038666,1.874857099,0.569062317,36.6961,0.251337965,FALSE
1/7/14,4.4,0.034139624,1.118,398.03,398.47,394.29,395.04,1916684,1916684,397.0975,1.117800981,0.401069519,0.015076513,-1.572739187,0.977313268,0.748687285,-0.092957817,-0.560259277,36.8709,0.476344898,TRUE
1/8/14,3.89,0.044246408,0.977,401.92,403,396.04,398.47,2316903,2316903,401.8055,0.977313268,2.106038666,1.382302492,0.964630225,-0.226413217,-1.05991242,-2.721934713,-0.574741242,36.9721,0.274471195,TRUE
