Ticker,Date,Headline,Article,Type
COKE,11272018,Plunge in Thomas Cook  weak miners dent British stocks ,* Greggs hits record high after strong sales  ups profit outlook,normal
COKE,05082018,BRIEF-Coca-Cola Bottling Co. Consolidated Reports Q1 Loss Per Share $1.52 ,* COCA-COLA BOTTLING CO. CONSOLIDATED REPORTS FIRST QUARTER 2018 RESULTS,topStory
COKE,03262018,BRIEF-Coca-Cola Bottling Co Consolidated's CEO FY 2017 Total Compensation Was $11.1 Mln ,* COCA-COLA BOTTLING CO CONSOLIDATED SAYS CEO J. FRANK HARRISON III'S FY 2017 TOTAL COMPENSATION WAS $11.1 MILLION VERSUS $11.4 MILLION IN FY 2016 - SEC FILING Source text (https://bit.ly/2pF72Nm) Further company coverage:,topStory
COKE,02272018,BRIEF-Coca‑Cola Bottling Co Reports Q4 Non-GAAP EPS $0.20 ,* COCA-COLA BOTTLING CO. CONSOLIDATED REPORTS FOURTH QUARTER 2017 AND FISCAL 2017 RESULTS,topStory
COKE,08082017,BRIEF-Coca-Cola Bottling Co Consolidated Q2 non-GAAP earnings per share $2.36 ,* Coca-Cola Bottling Co Consolidated reports second quarter 2017 results,topStory
COKE,07212017,BRIEF-Coca-Cola Bottling Co Consolidated sets quarterly dividend of $0.25shr ,* Sets quarterly dividend of $0.25per share Source text for Eikon: Further company coverage:,topStory
COKE,05092017,BRIEF-Coca‑Cola Bottling Co. Consolidated reports Q1 2017 results ,* Coca Cola Bottling Co. Consolidated reports first quarter 2017 results,topStory
COKE,05022017,BRIEF-Coca Cola Bottling amends final beverage agreement ,* Coca Cola Bottling - in relation with closing under distribution APA Co  units entered into amendment to final beverage agreement dated march 31  2017 Source text for Eikon: Further company coverage: (Reporting by Prithvi Kanti Bandyopadhyay),topStory
COKE,04132017,BRIEF-Coca-Cola Bottling Co Consolidated signs agreements to expand distribution territory and purchase manufacturing facility ,* Coca-Cola Bottling Co. Consolidated signs definitive agreements  to expand distribution territory and purchase manufacturing facility,topStory
COKE,04122017,BRIEF-Coca Cola Bottling Co Consolidated and Coca-Cola Company enters into a non-binding letter of intent ,* Coca Cola Bottling Co Consolidated - on April 11  2017  co and Coca-Cola Company enters into a non-binding letter of intent  the ' Somerset LOI ',topStory
COKE,03202017,BRIEF-Coca Cola Bottling Co Consolidated CEO Frank Harrison III's 2016 total compensation was $11.4 mln ,* CEO Frank Harrison III's 2016 total compensation was $11.4 million versus $8.2 million in 2015 - SEC filing,topStory
COKE,03102017,BRIEF-Coca Cola Bottling Co Consolidated - CEO's 2016 total compensation was $11.3 mln vs. $8.2 mln ,* Coca Cola Bottling Co consolidated - CEO J. Frank Harrison's 2016 total compensation was $11.3 million versus $8.2 million - sec filing  Source text (http://bit.ly/2muXLr7) Further company coverage:,topStory
COKE,03082017,BRIEF-Coca‑Cola Bottling Q4 earnings per share $2.31 ,* Coca-Cola Bottling Co consolidated reports fourth quarter 2016 and fiscal 2016 results,topStory
COKE,02102017,BRIEF-Vanguard Group reports a 5.15 percent passive stake in Coca Cola Bottling Co Consolidated as of December 31  2016 ,* Vanguard Group Inc reports a 5.15 percent passive stake in Coca Cola Bottling Co Consolidated as of December 31  2016 -SEC filing  Source text for Eikon: [ID:http://bit.ly/2kbiy3b] Further company coverage:,topStory
COKE,01272017,BRIEF-Coca Cola Bottling  Coca-Cola unit entered into amendment to APA ,* Coca Cola Bottling Co Consolidated- co  unit of Coca-Cola Co  entered into amendment to asset purchase agreement dated September 1  2016 - SEC filing,topStory
COKE,11172016,Swire Pacific in talks to buy Coca-Cola bottling assets in China: Bloomberg ,Hong Kong conglomerate Swire Pacific Ltd  is in talks to buy Coca-Cola Co's  bottling assets in China from Cofco Corp's [CNCOF.UL] China Foods Ltd  unit  Bloomberg reported.,topStory
