Ticker,Date,Headline,Article,Type
FB,12072018,Facebook to buy back additional $9 billion of shares ,Facebook Inc  will buy back an additional $9 billion of its shares  as it looks to pacify investors following a slump in its stock.,topStory
FB,12072018,Facebook to buy back additional $9 bln of shares ,Dec 7 Facebook Inc will buy back an additional $9 billion of its shares  as it looks to pacify investors following a slump in its stock.,normal
FB,12072018,India government meets with WhatsApp over tracing of fake news: source ,MUMBAI Indian tech ministry officials met with senior WhatsApp executives this week to ask the Facebook Inc  unit to start tracing the origins of misinformation spread through its messaging platform  a senior government official said on Friday.,normal
FB,12062018,Fed up with Facebook  U.S. fund managers look for alternatives ,NEW YORK Facebook Inc's  losses are becoming other companies' gains. | Video ,topStory
FB,12062018,Fed up with Facebook  U.S. fund managers look for alternatives ,NEW YORK  Dec 6 Facebook Inc's losses are becoming other companies' gains.,normal
FB,12062018,Australia passes bill to force tech firms to hand over encrypted data ,SYDNEY Australia's parliament on Thursday passed a bill to force tech firms such as Alphabet Inc's Google   Facebook  and Apple  to give police access to encrypted data  the most far-reaching such requirements imposed by a western country.,normal
FB,12062018,Facebook board backs Sandberg's request to initiate research into Soros ,Facebook Inc's  board backed Chief Operating Officer Sheryl Sandberg's request to probe whether George Soros had shorted the company's stock after the billionaire investor called the social network a "menace to society.",normal
FB,12062018,Facebook gave data on user's friends to certain companies: documents ,Facebook Inc  let some companies  including Netflix  and Airbnb  access users' lists of friends after it cut off that data for most other apps around 2015  according to documents released on Wednesday by a British lawmaker investigating fake news and social media. | Video ,normal
FB,12052018,UPDATE 4-Facebook gave data on user's friends to certain companies -documents ,Dec 5 Facebook Inc offered some companies  including Netflix and Airbnb  access to data about users' friends it did not make available to most other apps in 2015  according to documents released by a British lawmaker who said the social media company dodged questions about privacy practices and market dominance.,topStory
FB,12052018,UPDATE 1-Facebook board backs Sandberg's request to initiate research into Soros ,Dec 5 Facebook Inc's board backed Chief Operating Officer Sheryl Sandberg's request to probe whether George Soros had shorted the company's stock after the billionaire investor called the social network a "menace to society.",normal
FB,12052018,Facebook board backs Sandberg's handling of research into George Soros -WSJ ,Dec 5 Facebook Inc's board backed Chief Operating Officer Sheryl Sandberg's handling of research into investor George Soros  the Wall Street Journal reported on Wednesday  citing a letter from the board.,normal
FB,11302018,Instagram's new feature allows users to share stories with smaller group ,Facebook Inc's Instagram said on Friday it launched a new feature dubbed "Close Friends" allowing users to share their stories with a smaller group of people.,topStory
FB,11302018,Instagram's new feature allows users to share stories with smaller group ,Nov 30 Facebook Inc's Instagram said on Friday it launched a new feature dubbed "Close Friends" allowing users to share their stories with a smaller group of people.,normal
FB,11292018,Facebook starts verification for UK political ads ,UK advertisers seeking to run political ads on Facebook Inc  must now confirm their identity  location and reveal who paid for the ad  the social network said on Thursday as it faces increasing scrutiny following the Cambridge Analytica scandal.,topStory
FB,11292018,UPDATE 2-Amazon's treatment of sellers comes under scrutiny in Germany ,* German antitrust watchdog receives many complaints from traders,normal
FB,11292018,RPT-UPDATE 1-German antitrust watchdog launches probe into Amazon ,BERLIN  Nov 29 Germany's antitrust authority has launched an investigation into whether U.S. ecommerce giant Amazon is exploiting its market dominance in its relations with third-party retailers who use its website as a marketplace.,normal
FB,11282018,U.S. rights groups seek secret documents in Facebook encryption case ,SAN FRANCISCO Two civil rights groups asked a judge on Wednesday to release documents describing a secret U.S. government effort to force Facebook Inc to decrypt voice conversations between users on its Messenger app.,topStory
FB,11282018,US civil rights groups seek secret documents in Facebook encryption fight ,SAN FRANCISCO  Nov 28 Two civil rights groups asked a federal judge on Wednesday to release documents describing a secret U.S. Department of Justice effort to force Facebook Inc to decrypt conversations between users.,normal
FB,11282018,Facebook to expand its section for local news 'Today In' ,Facebook Inc  on Wednesday said it is expanding its 'Today In' feature  a dedicated section for local news and starting a test for local alerts from relevant government pages.,normal
