date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap,change1D,change2D,change3D,change7D,future1D,future2D,future3D,future7D,NASDAQclose,NASDAQchange1D,compToNASDAQ
12/9/13,0.9,0,1.877,48.84,48.97,47.74,48.09,36055891,36055891,48.4204,,,,,2.876740377,1.105651106,6.122031122,13.77968878,35.6838,,
12/10/13,1.405,0.028767404,2.877,50.245,50.77,48.54,48.64,68478561,68478561,50.0235,2.876740377,,,,-1.721564335,3.154542741,6.120011941,9.563140611,35.6655,-0.051283776,TRUE
12/11/13,-0.865,0.011056511,-1.722,49.38,50.77,49.01,50.55,65776366,65776366,50.0554,-1.721564335,1.105651106,,,4.961522884,7.978938842,8.971243418,11.62413933,35.6195,-0.128976181,FALSE
12/12/13,2.45,0.061220311,4.962,51.83,52.07,50.66,51.045,92723034,92723034,51.4369,4.961522884,3.154542741,6.122031122,,2.874782944,3.820181362,5.846035115,11.46054409,35.6931,0.206628392,TRUE
12/13/13,1.49,0.091728092,2.875,53.32,53.5,51.34,51.66,82640992,82640992,52.6387,2.874782944,7.978938842,6.120011941,,0.918979745,2.888222056,4.219804951,8.702175544,35.4723,-0.618606958,TRUE
12/16/13,0.49,0.101760852,0.919,53.81,54.5,52.91,53.25,85118518,85118518,53.6311,0.918979745,3.820181362,8.971243418,,1.951310165,3.270767515,2.304404386,7.284891284,35.6287,0.440907412,TRUE
12/17/13,1.05,0.123259623,1.951,54.86,55.18,54.24,54.76,78751463,78751463,54.7744,1.951310165,2.888222056,5.846035115,,1.294203427,0.346336128,0.473933649,1.057236602,36.1716,1.523771566,TRUE
12/18/13,0.71,0.137796888,1.294,55.57,55.89,53.75,54.86,76003479,76003479,54.7366,1.294203427,3.270767515,4.219804951,13.77968878,-0.935756703,-0.809789455,3.958970668,-3.347129746,36.4338,0.724878081,TRUE
12/19/13,-0.52,0.127149877,-0.936,55.05,55.19,53.95,54.33,89825393,89825393,54.5986,-0.935756703,0.346336128,2.304404386,9.563140611,0.12715713,4.940962761,5.286103542,-0.728428701,36.3096,-0.340892248,FALSE
12/20/13,0.07,0.128583129,0.127,55.12,55.15,54.23,54.93,239823912,239823912,57.3026,0.12715713,-0.809789455,0.473933649,11.62413933,4.807692308,5.152394775,4.735123367,-0.74383164,36.7697,1.267157997,TRUE
12/23/13,2.65,0.182841933,4.808,57.77,58.32,55.45,55.5,98296983,98296983,57.4384,4.807692308,4.940962761,3.958970668,11.46054409,0.328890428,-0.06924009,-4.033235243,-5.56171023,36.5857,-0.500412024,TRUE
12/24/13,0.19,0.186732187,0.329,57.96,58.58,56.91,58.27,46617754,46617754,57.6988,0.328890428,5.152394775,5.286103542,8.702175544,-0.396825397,-4.347826087,-7.332643202,-1.311249137,36.7237,0.377196555,TRUE
12/26/13,-0.23,0.182022932,-0.397,57.73,58.38,57.37,58.32,55101367,55101367,57.8749,-0.396825397,-0.06924009,4.735123367,7.284891284,-3.966741729,-6.963450546,-5.336913217,0.329118309,36.7881,0.175363594,FALSE
