Ticker,Date,Headline,Article,Type
GOOGL,12022018,Google CEO hearing in U.S. House likely to be postponed: Goodlatte ,WASHINGTON The U.S. House Judiciary Committee will likely put off until next week a hearing with Google Chief Executive Sundar Pichai on the Alphabet Inc  unit’s social media practices because of the state funeral of former President George H.W. Bush  Chairman Bob Goodlatte said on Sunday.,topStory
GOOGL,12022018,Google CEO hearing in U.S. House likely to be postponed -Goodlatte ,WASHINGTON  Dec 2 The U.S. House Judiciary Committee will likely put off until next week a hearing with Google Chief Executive Sundar Pichai on the Alphabet Inc unit’s social media practices because of the state funeral of former President George H.W. Bush  Chairman Bob Goodlatte said on Sunday.,normal
GOOGL,11302018,Does Google harm local search rivals? EU antitrust regulators ask ,BRUSSELS EU antitrust regulators have asked Google's rivals if the internet search giant unfairly demotes local search competitors  according to a questionnaire seen by Reuters  a move which could lead to a fourth case against the Alphabet  unit.,topStory
GOOGL,11292018,Indonesia's Go-Jek starts trial launch in Singapore  challenges Grab ,SINGAPORE  Nov 29 Indonesian ride-hailing firm Go-Jek kicked off a trial launch in parts of Singapore on Thursday and plans to roll out an array of services through its app in early 2019  challenging dominant player Grab in the small city-state.,normal
GOOGL,11282018,U.S. House panel sets Google CEO hearing for December 5 ,WASHINGTON The U.S. House Judiciary Committee will hold a hearing with Google Chief Executive Sundar Pichai on the Alphabet Inc unit's social media practices on Dec. 5  the committee said on Wednesday.,topStory
GOOGL,11282018,Amazon launches machine learning chip  taking on Nvidia  Intel ,Nov 28 Amazon.com on Wednesday launched a microchip aimed at so-called machine learning  entering a market that both Intel Corp and Nvidia Corp are counting on to boost their earnings in the coming years.,normal
GOOGL,11282018,YouTube shifts to make new exclusive shows  movies free to users ,SAN FRANCISCO YouTube plans to make all future original programing available to users for free with advertising  as the video streaming unit of Alphabet Inc's Google  seeks a bigger audience for shows and movies that had mostly been restricted to paid subscribers.,normal
GOOGL,11282018,UPDATE 2-YouTube shifts to make new exclusive shows  movies free to users ,SAN FRANCISCO  Nov 27 YouTube plans to make all future original programming available to users for free with advertising  as the video streaming unit of Alphabet Inc's Google seeks a bigger audience for shows and movies that had mostly been restricted to paid subscribers.,normal
GOOGL,11272018,YouTube shifts to make new exclusive shows  movies free to users ,SAN FRANCISCO  Nov 27 YouTube plans to make all of its future original programming available to users for free with advertising  as the video streaming unit of Alphabet Inc's Google seeks a bigger audience for shows and movies that had mostly been restricted to its paid subscribers.,topStory
GOOGL,11272018,Google employees push to stop Project Dragonfly ,Nov 27 Eleven employees comprising engineers and managers at Alphabet Inc's Google published an open letter on Tuesday  demanding that the company end development of a censored search engine for Chinese users  escalating earlier protests against the secretive project.,normal
GOOGL,11272018,RPT-FOCUS-Fearful of bias  Google blocks gender-based pronouns from new AI tool ,SAN FRANCISCO  Nov 27 Alphabet Inc's Google in May introduced a slick feature for Gmail that automatically completes sentences for users as they type. Tap out "I love" and Gmail might propose "you" or "it.",normal
GOOGL,11272018,Fearful of bias  Google blocks gender-based pronouns from new AI tool ,SAN FRANCISCO Alphabet Inc's  Google in May introduced a slick feature for Gmail that automatically completes sentences for users as they type. Tap out "I love" and Gmail might propose "you" or "it." | Video ,normal
GOOGL,11272018,FOCUS-Fearful of bias  Google blocks gender-based pronouns from new AI tool ,SAN FRANCISCO  Nov 27 Alphabet Inc's Google in May introduced a slick feature for Gmail that automatically completes sentences for users as they type. Tap out "I love" and Gmail might propose "you" or "it.",normal
GOOGL,11262018,UPDATE 1-Logitech ends negotiations to acquire Plantronics ,Nov 25 Logitech International SA  a Swiss manufacturer of keyboards and webcams  has ended discussions to acquire Plantronics Inc  a U.S. maker of Bluetooth earpieces and gaming headsets  the companies said on Sunday.,normal
GOOGL,11232018,Exclusive: A10 Networks explores potential sale - sources ,A10 Networks Inc  a U.S. technology company whose software and hardware help keep networks and data centres secure  is exploring options that include a potential sale of the company  people familiar with the matter said on Friday.,normal
GOOGL,11232018,EXCLUSIVE-A10 Networks explores potential sale - sources ,Nov 23 A10 Networks Inc  a U.S. technology company whose software and hardware help keep networks and data centers secure  is exploring options that include a potential sale of the company  people familiar with the matter said on Friday.,normal
GOOGL,11192018,Google-Temasek study sees $240 bln Southeast Asia internet economy by 2025 ,SINGAPORE  Nov 19 Southeast Asia's internet economy is expected to exceed $240 billion by 2025  a joint study by Google and Temasek Holdings showed  a fifth more than previously estimated  as more consumers use their smartphones to go online.,normal
GOOGL,11162018,Alphabet unit halts glucose-detecting contact lens project ,Alphabet Inc's life sciences division Verily said on Friday that it was putting on hold one of its oldest and highest-profile projects  a smart contact lens designed to help monitor sugar levels.,topStory
GOOGL,11162018,UPDATE 2-Alphabet unit halts glucose-detecting contact lens project ,Nov 16 Alphabet Inc's life sciences division Verily said on Friday that it was putting on hold one of its oldest and highest-profile projects  a smart contact lens designed to help monitor sugar levels.,normal
GOOGL,11162018,Alphabet's Verily pauses project on glucose-sensing lens ,Nov 16 Alphabet Inc's Verily said on Friday it is pausing research on glucose-sensing lens  one of its earliest projects.,normal
GOOGL,11162018,BRIEF-Alphabet's Verily Ending Smart Contact Lens Program To Measure Glucose Levels For Diabetics ,* ALPHABET'S VERILY ENDING SMART CONTACT LENS PROGRAM TO MEASURE GLUCOSE LEVELS FOR DIABETICS,normal
GOOGL,11152018,UPDATE 3-Cisco beats as network gear demand rises  new bets pay off ,Nov 14 Cisco Systems Inc beat analysts' estimates for quarterly revenue and profit on Wednesday  as the network gear maker benefited from demand for its routers and switches as well as growth in newer areas of focus such as software.,normal
GOOGL,11082018,Google hears protesters  changes sexual harassment policies ,Nov 8 Alphabet Inc's Google said on Thursday it would make changes to how it handles sexual harassment claims  a week after thousands of its employees around the world walked off their jobs to protest its response to such issues.,topStory
GOOGL,11082018,Google plans to expand office space in New York City: WSJ ,Alphabet Inc's  Google is nearing a deal to buy or lease an office building in New York City that could add space for more than 12 000 new workers  The Wall Street Journal reported on Wednesday  citing sources.,normal
GOOGL,11082018,Google plans to expand office space in New York City - WSJ ,Nov 7 Alphabet Inc's Google is nearing a deal to buy or lease an office building in New York City that could add space for more than 12 000 new workers  The Wall Street Journal reported https://on.wsj.com/2JLvhmZ on Wednesday  citing sources.,normal
