date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap,change1D,change2D,change3D,change7D,future1D,future2D,future3D,future7D,NASDAQclose,NASDAQchange1D,compToNASDAQ
12/9/13,4.1391,0,0.773,539.6091,541.6962,534.544,536.0305,1484103,2965241,539.4871,,,,,0.604734057,-0.078853377,-0.758715893,0.613091959,35.6838,,
12/10/13,3.2633,0.006047341,0.605,542.8723,546.7012,538.3628,538.6131,1856112,3708515,542.8615,0.604734057,,,,-0.679478397,-1.355254265,-2.200683291,0.143827563,35.6655,-0.051283776,TRUE
12/11/13,-3.6887,-0.000788534,-0.679,539.1836,546.2057,538.1226,544.2437,1711835,3420250,542.4584,-0.679478397,-0.078853377,,,-0.680399033,-1.531611867,-0.400067806,2.165625957,35.6195,-0.128976181,FALSE
12/12/13,-3.6687,-0.007587159,-0.68,535.515,542.0115,535.0345,540.3248,1596498,3189806,537.5372,-0.680399033,-1.355254265,-0.758715893,,-0.857044154,0.282251664,-0.00935548,4.218836074,35.6931,0.206628392,FALSE
12/13/13,-4.5896,-0.016092575,-0.857,530.9254,538.6831,529.4714,538.2377,2164759,4325193,533.8719,-0.857044154,-1.531611867,-2.200683291,,1.149144494,0.855016543,2.258697738,4.812446344,35.4723,-0.618606958,FALSE
12/16/13,6.1011,-0.004786057,1.149,537.0265,537.8823,531.536,532.532,1606175,3209141,535.9034,1.149144494,0.282251664,-0.400067806,,-0.290786395,1.09694773,1.233942831,4.145456509,35.6287,0.440907412,TRUE
12/17/13,-1.5616,-0.007680004,-0.291,535.4649,540.9204,534.7242,536.9464,1539917,3076757,555.5564,-0.290786395,0.855016543,-0.00935548,,1.391781235,1.529175862,2.875146438,4.537048087,36.1716,1.523771566,FALSE
12/18/13,7.4524,0.00613092,1.392,542.9174,543.0175,530.0495,536.4609,2212546,4420671,535.2437,1.391781235,1.09694773,2.258697738,0.613091959,0.135508643,1.463003396,2.797865753,2.277933991,36.4338,0.724878081,TRUE
12/19/13,0.735735,0.007494314,0.136,543.6531,546.541,540.0795,540.9241,1666006,3328683,543.8245,0.135508643,1.529175862,1.233942831,0.143827563,1.325698318,2.658754268,2.358636417,3.175241712,36.3096,-0.340892248,TRUE
12/20/13,7.2072,0.020850649,1.326,550.8603,551.1356,544.544,544.6942,3267417,6528306,548.9407,1.325698318,1.463003396,2.875146438,2.165625957,1.315614866,1.019423618,1.530043098,1.135732599,36.7697,1.267157997,TRUE
12/23/13,7.2472,0.034281112,1.316,558.1075,558.4579,553.1126,554.4739,1723430,3443417,556.4712,1.315614866,2.658754268,2.797865753,4.218836074,-0.292345113,0.211643814,0.295946569,-0.905739486,36.5857,-0.500412024,TRUE
12/24/13,-1.6316,0.031257442,-0.292,556.4759,558.1776,554.6041,558.0425,734170,1466873,556.1768,-0.292345113,1.019423618,2.358636417,4.812446344,0.505466634,0.590016567,-0.214061382,0.492887473,36.7237,0.377196555,FALSE
12/26/13,2.8128,0.036470104,0.505,559.2887,560.0595,554.8993,557.562,1338507,2674340,616.6875,0.505466634,0.211643814,1.530043098,4.145456509,0.084124711,-0.715909333,0.290851576,1.914842907,36.7881,0.175363594,TRUE
12/27/13,0.47047,0.037342031,0.084,559.7592,560.7001,557.0265,560.56,1570140,3137143,558.822,0.084124711,0.590016567,0.295946569,4.537048087,-0.799361583,0.206553104,-0.472095858,2.041306333,36.7329,-0.150048521,TRUE
12/30/13,-4.4745,0.029049918,-0.799,555.2847,560.8102,555.0645,560.7302,1236709,2470947,557.4123,-0.799361583,-0.715909333,-0.214061382,2.277933991,1.014020375,0.329902841,-0.401991987,1.872985155,36.6501,-0.225411008,FALSE
12/31/13,5.6306,0.039484694,1.014,560.9154,561.0605,553.6831,556.6761,1358300,2713886,558.3512,1.014020375,0.206553104,0.290851576,3.175241712,-0.677250081,-1.401797847,-0.302487684,0.844993737,36.6225,-0.075306752,TRUE
1/2/14,-3.7988,0.032444783,-0.677,557.1166,559.4339,554.6842,558.2877,1822719,3641796,554.9661,-0.677250081,0.329902841,-0.472095858,1.135732599,-0.729488226,0.377317782,2.312191021,0.885793028,36.0704,-1.507543177,FALSE
1/3/14,-4.0641,0.02491322,-0.729,553.0525,559.0235,553.0175,558.0575,1669229,3335123,555.3599,-0.729488226,-1.401797847,-0.401991987,-0.905739486,1.114939359,3.064030992,3.278730319,4.018099548,36.6041,1.479606547,FALSE
1/6/14,6.1662,0.03634038,1.115,559.2187,559.9894,553.7732,557.0615,1770782,3538026,557.0858,1.114939359,0.377317782,-0.302487684,0.492887473,1.927600061,2.139932016,1.156327569,2.801336937,36.6961,0.251337965,TRUE
1/7/14,10.7795,0.056316878,1.928,569.9982,570.4148,561.1406,563.0625,2553999,5102895,566.9767,1.927600061,3.064030992,2.312191021,1.914842907,0.208316447,-0.7566866,-0.761949775,1.524548674,36.8709,0.476344898,TRUE
1/8/14,1.1874,0.05851736,0.208,571.1856,574.2337,567.2116,573.573,2243444,4482406,571.7225,0.208316447,2.139932016,3.278730319,2.041306333,-0.962996966,-0.9682492,-1.599147457,0.814919004,36.9721,0.274471195,TRUE
1/9/14,-5.5005,0.04832387,-0.963,565.6851,572.6821,563.3428,572.2917,2085565,4166963,566.1864,-0.962996966,-0.7566866,1.156327569,1.872985155,-0.005303304,-0.642336169,1.695218771,2.960445661,37.0273,0.149301771,FALSE
