date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap,change1D,change2D,change3D,change7D,future1D,future2D,future3D,future7D,NASDAQclose,NASDAQchange1D,compToNASDAQ
12/9/13,0.175714,0,0.347,50.8099,51.4099,50.5157,50.7385,1674900,11724300,50.9502,,,,,2.08915979,2.336552522,4.965370922,5.783518566,35.6838,,
12/10/13,1.0614,0.020891598,2.089,51.8714,52.0628,50.4742,50.7214,2014667,14102669,51.7106,2.08915979,,,,0.24233007,2.817352144,1.616497723,3.756405264,35.6655,-0.051283776,TRUE
12/11/13,0.125714,0.023365525,0.242,51.9971,53.0228,51.7457,52.0528,2871543,20100801,52.3879,0.24233007,2.336552522,,,2.568797106,1.370845682,0.640035694,3.211717577,35.6195,-0.128976181,TRUE
12/12/13,1.3357,0.049653709,2.569,53.3328,53.5485,51.9357,51.9528,3045538,21318766,52.9777,2.568797106,2.817352144,4.965370922,,-1.167949179,-1.880456305,0.412504125,1.94195692,35.6931,0.206628392,TRUE
12/13/13,-0.622857,0.037394287,-1.168,52.7099,53.8571,52.6871,53.7357,2553804,17876628,53.0492,-1.167949179,1.370845682,1.616497723,,-0.720927188,1.599130334,1.970407836,2.553220552,35.4723,-0.618606958,FALSE
12/16/13,-0.379999,0.02991543,-0.721,52.3299,52.9999,52.0357,52.8542,1988772,13921404,52.358,-0.720927188,-1.880456305,0.640035694,,2.336904905,2.710878484,2.847320557,2.899298489,35.6287,0.440907412,FALSE
12/17/13,1.2229,0.053983574,2.337,53.5528,53.9571,52.3242,52.3928,2645253,18516771,53.7279,2.336904905,1.599130334,0.412504125,,0.36543374,0.498760102,0.213434218,-1.966097011,36.1716,1.523771566,TRUE
12/18/13,0.195714,0.057835186,0.365,53.7485,53.8571,52.3585,53.4085,2842147,19895029,52.9318,0.36543374,2.710878484,1.970407836,5.783518566,0.132840916,-0.151446087,1.153520563,-2.458487214,36.4338,0.724878081,TRUE
12/19/13,0.071428,0.059240424,0.133,53.8199,54.2657,53.3357,53.4571,1979518,13856626,53.8483,0.132840916,0.498760102,2.847320557,3.756405264,-0.283909855,1.019325565,0.438127904,-2.274623327,36.3096,-0.340892248,TRUE
12/20/13,-0.152857,0.056233136,-0.284,53.6671,54.2414,53.4771,53.7857,2688876,18822132,53.8458,-0.283909855,-0.151446087,0.213434218,3.211717577,1.306945969,0.724093532,0.335401019,-3.420531387,36.7697,1.267157997,FALSE
12/23/13,0.701428,0.070037532,1.307,54.3685,54.7757,53.8044,54.0985,1808992,12662944,54.4361,1.306945969,1.019325565,1.153520563,1.94195692,-0.575333143,-0.959011192,-3.436916597,-4.592916854,36.5857,-0.500412024,TRUE
12/24/13,-0.312857,0.063881251,-0.575,54.0557,54.8514,53.9257,54.3942,796835,5577845,54.2502,-0.575333143,0.724093532,0.438127904,2.553220552,-0.385898249,-2.878142361,-3.01281826,-4.973758549,36.7237,0.377196555,FALSE
12/26/13,-0.208571,0.059775752,-0.386,53.8471,54.4157,53.6905,54.0157,1753672,12275704,54.0593,-0.385898249,-0.959011192,0.335401019,2.899298489,-2.501898895,-2.63709652,-2.323987736,-9.930154084,36.7881,0.175363594,FALSE
12/27/13,-1.3471,0.033261235,-2.502,52.4999,54.1071,52.2585,53.8728,2422007,16954049,52.8726,-2.501898895,-2.878142361,-3.436916597,-1.966097011,-0.138666931,0.182476538,-1.273335759,-7.21353755,36.7329,-0.150048521,FALSE
12/30/13,-0.072858,0.031828443,-0.139,52.4271,52.7914,51.2914,52.5171,2154317,15080219,52.0122,-0.138666931,-2.63709652,-3.01281826,-2.458487214,0.321589407,-1.136244423,-1.059948004,-8.158185366,36.6501,-0.225411008,FALSE
