Ticker,Date,Headline,Article,Type
TSLA,12072018,Tesla hires Washington trial lawyer as new general counsel ,Tesla Inc has hired Dane Butswinkas  a Washington  D.C. trial lawyer  as its general counsel  the electric car manufacturer said late on Thursday.,topStory
TSLA,12072018,Tesla hires Washington trial lawyer as new general counsel ,Dec 7 Tesla Inc has hired Dane Butswinkas  a Washington  D.C. trial lawyer  as its general counsel  the electric car manufacturer said late on Thursday.,normal
TSLA,12062018,Tesla plans to use stock-cash mix to pay off March debt: Bloomberg ,Tesla Inc will pay a 50-50 mix of stock and cash to holders of its bonds due in March  if they elect to convert the debt  Bloomberg reported on Thursday  citing a copy of the settlement notice.,topStory
TSLA,12062018,Tesla plans to use stock-cash mix to pay off March debt -Bbg ,Dec 6 Tesla Inc will pay a 50-50 mix of stock and cash to holders of its bonds due in March  if they elect to convert the debt  Bloomberg reported https://www.bloomberg.com/news/articles/2018-12-06/tesla-is-said-to-plan-using-stock-cash-mix-to-pay-off-march-debt on Thursday  citing a copy of the settlement notice.,normal
TSLA,12062018,Exclusive: Tesla  smarting from trade war  seeks bids for China Gigafactory construction ,SHANGHAI Tesla Inc has opened a tender process to build its Shanghai Gigafactory and at least one contractor has started buying materials  according to sources and documents reviewed by Reuters  the clearest indication that construction is imminent.,normal
TSLA,12042018,Tesla changes plans to start Model Y production: Business Insider ,Tesla Inc had plans to build its pilot small electric SUV Model Y at Gigafactory 1 by June 1  2020  the Business Insider reported on Monday  citing leaked internal documents  but said the company changed its plans later.,topStory
TSLA,12042018,Tesla changes plans to start Model Y production - Business Insider ,Dec 3 Tesla Inc had plans to build its pilot small electric SUV Model Y at Gigafactory 1 by June 1  2020  the Business Insider reported on Monday  citing leaked internal documents  but said the company changed its plans later.,normal
TSLA,12032018,UPDATE 3-Trump tweets China to cut tax on U.S.-made cars  revs up auto stocks ,* Move could boost BMW  Tesla  Mercedes-Benz imports (Adds China car dealer association comment  share price reactions  bullets),topStory
TSLA,11302018,Tesla achieves Model 3 production of 1 000 cars per day: Electrek ,Tesla Inc met its production target of 1 000 Model 3 cars per day  automotive news website Electrek reported on Friday  citing Chief Executive Officer Elon Musk's email to employees.,topStory
TSLA,11302018,Tesla achieves Model 3 production of 1 000 cars per day- Electrek ,Nov 30 Tesla Inc met its production target of 1 000 Model 3 cars per day  automotive news website Electrek reported on Friday  citing Chief Executive Officer Elon Musk's email to employees.,normal
TSLA,11302018,Nio  China rival to Tesla  says U.S. head to step down ,SHANGHAI The U.S. head of Nio Inc   an electric carmaker seen as one of the main Chinese rivals to Tesla Inc   will leave the company  the firm said in a filing on Friday  the first major management departure since its September IPO.,normal
