date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap,change1D,change2D,change3D,change7D,future1D,future2D,future3D,future7D,NASDAQclose,NASDAQchange1D,compToNASDAQ
12/9/13,4.24,0,3.087,141.6,141.7,134.21,137,9061485,9061485,138.5368,,,,,0.416666667,-1.377118644,4.145480226,4.505649718,35.6838,,
12/10/13,0.59,0.004166667,0.417,142.19,145.87,139.86,140.05,10748234,10748234,143.225,0.416666667,,,,-1.786342218,3.713341304,3.842745622,-1.033827977,35.6655,-0.051283776,TRUE
12/11/13,-2.54,-0.013771186,-1.786,139.65,143.05,139.49,141.88,7137842,7137842,140.5167,-1.786342218,-1.377118644,,,5.59971357,5.731471536,5.936269245,2.570712496,35.6195,-0.128976181,FALSE
12/12/13,7.82,0.041454802,5.6,147.47,148.24,138.53,139.7,10767791,10767791,143.7945,5.59971357,3.713341304,4.145480226,,0.12477114,0.31870889,3.383739066,-2.658167763,35.6931,0.206628392,TRUE
12/13/13,0.184,0.042754237,0.125,147.654,151.8,147.32,148.05,10599775,10599775,149.5224,0.12477114,5.731471536,3.842745622,,0.193696073,3.254906741,0.220786433,2.543784794,35.4723,-0.618606958,TRUE
12/16/13,0.286,0.044774011,0.194,147.94,150.43,146.1,148.48,6675276,6675276,147.3188,0.193696073,0.31870889,5.936269245,,3.055292686,0.027037988,-4.880356901,5.110179803,35.6287,0.440907412,TRUE
12/17/13,4.52,0.076694915,3.055,152.46,154.63,146.3235,147.58,10494969,10494969,151.1686,3.055292686,3.254906741,3.383739066,,-2.938475666,-7.700380428,-6.047487866,-0.878919061,36.1716,1.523771566,TRUE
12/18/13,-4.48,0.045056497,-2.938,147.98,154.9,145.95,152.24,11581897,11581897,148.6642,-2.938475666,0.027037988,0.220786433,4.505649718,-4.906068388,-3.203135559,-2.99364779,3.0139208,36.4338,0.724878081,FALSE
12/19/13,-7.26,-0.006214689,-4.906,140.72,147,139.1,146.9,12758613,12758613,141.9982,-4.906068388,-7.700380428,-4.880356901,-1.033827977,1.790790222,2.011085844,7.596645821,6.899516771,36.3096,-0.340892248,FALSE
12/20/13,2.52,0.011581921,1.791,143.24,144.35,141.58,141.58,7422537,7422537,143.3608,1.790790222,-3.203135559,-6.047487866,2.570712496,0.216419994,5.703714046,8.559061715,4.789165038,36.7697,1.267157997,TRUE
12/23/13,0.31,0.013771186,0.216,143.55,146.24,142.601,144.85,5385506,5385506,144.404,0.216419994,2.011085844,-2.99364779,-2.658167763,5.475444096,8.324625566,5.273423894,4.186694532,36.5857,-0.500412024,TRUE
12/24/13,7.86,0.069279661,5.475,151.41,154.97,149.82,150,9941485,9941485,152.6384,5.475444096,5.703714046,7.596645821,2.543784794,2.701274685,-0.191532924,0.680272109,-2.912621359,36.7237,0.377196555,TRUE
12/26/13,4.09,0.098163842,2.701,155.5,158,154.29,155.04,7129526,7129526,155.8667,2.701274685,8.324625566,8.559061715,5.110179803,-2.816720257,-1.967845659,-3.261093248,-3.948553055,36.7881,0.175363594,TRUE
12/27/13,-4.38,0.067231638,-2.817,151.12,155.4999,150.8,155.3,5469064,5469064,152.3374,-2.816720257,-0.191532924,5.273423894,-0.878919061,0.873478031,-0.457252515,-0.674960296,0.105876125,36.7329,-0.150048521,FALSE
12/30/13,1.32,0.076553672,0.873,152.44,154.81,150.75,151.12,4472076,4472076,152.8723,0.873478031,-1.967845659,0.680272109,3.0139208,-1.319207557,-1.535030176,-1.889267909,-3.220939386,36.6501,-0.225411008,TRUE
12/31/13,-2.011,0.062351695,-1.319,150.429,153.2,148.661,152.32,4266710,4266710,150.5789,-1.319207557,-0.457252515,-3.261093248,6.899516771,-0.218707829,-0.577681165,-2.279480685,-3.130446922,36.6225,-0.075306752,FALSE
1/2/14,-0.329,0.060028249,-0.219,150.1,152.4769,146.55,149.8,6195355,6195355,149.6243,-0.218707829,-1.535030176,-0.674960296,4.789165038,-0.35976016,-2.065289807,-0.493004664,-7.168554297,36.0704,-1.507543177,FALSE
1/3/14,-0.54,0.056214689,-0.36,149.56,152.19,148.601,150,4698839,4698839,150.0289,-0.35976016,-0.577681165,-1.889267909,4.186694532,-1.711687617,-0.133725595,1.150040118,7.829633592,36.6041,1.479606547,FALSE
1/6/14,-2.56,0.038135593,-1.712,147,150.4,145.24,150,5367320,5367320,147.1146,-1.711687617,-2.065289807,-2.279480685,-2.912621359,1.605442177,2.911564626,0.360544218,11.65306122,36.6961,0.251337965,FALSE
1/7/14,2.36,0.05480226,1.605,149.36,150.4,145.25,147.62,5041806,5041806,148.4566,1.605442177,-0.133725595,-0.493004664,-3.948553055,1.285484735,-1.225227638,-2.437131762,14.4683985,36.8709,0.476344898,TRUE
1/8/14,1.92,0.068361582,1.285,151.28,153.7,148.76,148.85,6166674,6166674,152.3022,1.285484735,2.911564626,1.150040118,0.105876125,-2.478847171,-3.675370175,-7.892649392,12.38101534,36.9721,0.274471195,TRUE
1/9/14,-3.75,0.041878531,-2.479,147.53,153.43,146.85,152.5,5388905,5388905,149.2955,-2.478847171,-1.225227638,0.360544218,-3.220939386,-1.226936894,-5.551413272,9.313359995,19.75869315,37.0273,0.149301771,FALSE
1/10/14,-1.8101,0.029095339,-1.227,145.7199,148.9,142.25,148.46,7450531,7450531,144.7095,-1.226936894,-3.675370175,-2.437131762,-3.130446922,-4.378194056,10.6712261,12.63389558,22.53645521,36.7329,-0.795089029,FALSE
1/13/14,-6.3799,-0.015960452,-4.378,139.34,147,137.82,145.78,6324647,6324647,141.4185,-4.378194056,-5.551413272,-7.892649392,-7.168554297,15.73848141,17.79101478,22.69987082,30.25692551,36.0244,-1.928788634,FALSE
1/14/14,21.93,0.138912429,15.738,161.27,162,136.671,140.5,27935828,27935828,151.4402,15.73848141,10.6712261,9.313359995,7.829633592,1.773423451,6.014757859,5.419482855,8.265641471,36.5673,1.507034121,TRUE
1/15/14,2.86,0.159110169,1.773,164.13,172.23,162.1,168.45,20488981,20488981,166.7182,1.773423451,17.79101478,12.63389558,11.65306122,4.167428258,3.582526046,7.646377871,3.344909523,36.3648,-0.553773453,TRUE
1/16/14,6.84,0.207415254,4.167,170.97,172.7,162.4,162.5,11982099,11982099,169.2297,4.167428258,6.014757859,22.69987082,14.4683985,-0.561502018,3.339767211,4.439375329,4.334093701,36.7881,1.164037751,TRUE
1/17/14,-0.96,0.200635593,-0.562,170.01,173.2,167.95,170.19,9216028,9216028,169.8389,-0.561502018,3.582526046,5.419482855,12.38101534,3.923298629,5.029115934,6.758425975,3.070407623,36.5488,-0.650482085,FALSE
1/21/14,6.67,0.247740113,3.923,176.68,177.29,170.81,171.24,9745765,9745765,175.2848,3.923298629,3.339767211,7.646377871,19.75869315,1.064070636,2.728095993,-1.17726964,3.486529319,36.2544,-0.805498402,TRUE
1/22/14,1.88,0.261016949,1.064,178.56,180.319,174.76,177.81,7036758,7036758,177.9393,1.064070636,5.029115934,4.439375329,22.53645521,1.646505376,-2.217741935,-5.00672043,1.596102151,36.3464,0.253762302,TRUE
1/23/14,2.94,0.281779661,1.647,181.5,182.38,173.42,177.23,7899515,7899515,178.5692,1.646505376,2.728095993,6.758425975,30.25692551,-3.801652893,-6.545454545,-1.719008264,-2.418732782,35.6103,-2.025234961,TRUE
1/24/14,-6.9,0.233050847,-3.802,174.6,180.48,173.531,177.85,7711296,7711296,176.3339,-3.801652893,-2.217741935,-1.17726964,8.265641471,-2.852233677,2.164948454,0.360824742,2.365406644,34.5981,-2.842436037,FALSE
1/27/14,-4.98,0.197881356,-2.852,169.62,177.92,164.71,175.16,8737773,8737773,170.256,-2.852233677,-6.545454545,-5.00672043,3.344909523,5.16448532,3.307392996,7.79389223,2.82985497,34.3405,-0.744549556,FALSE
1/28/14,8.76,0.259745763,5.164,178.38,178.98,171,171.5,6128237,6128237,175.0016,5.16448532,2.164948454,-1.719008264,4.334093701,-1.765893037,2.5002803,1.698620922,0,34.6441,0.884087302,TRUE
1/29/14,-3.15,0.2375,-1.766,175.23,179.09,173.131,175.3,5956817,5956817,176.0596,-1.765893037,3.307392996,0.360824742,3.070407623,4.342863665,3.526793357,1.072875649,6.448667466,34.23,-1.195297323,FALSE
1/30/14,7.61,0.291242938,4.343,182.84,184.78,177.01,178,8575210,8575210,182.5413,4.342863665,2.5002803,7.79389223,3.486529319,-0.782104572,-3.133887552,-2.247866988,7.503828484,35.3434,3.252702308,TRUE
1/31/14,-1.43,0.281144068,-0.782,181.41,186,178.5146,178.85,6512951,6512951,183.0898,-0.782104572,3.526793357,1.698620922,1.596102151,-2.370321371,-1.477316576,-3.853150322,8.384322805,35.1042,-0.676788311,FALSE
2/3/14,-4.3,0.250776836,-2.37,177.11,184.8797,175.16,182.89,6778609,6778609,179.645,-2.370321371,-3.133887552,1.072875649,-2.418732782,0.914685788,-1.518830106,0.717068489,10.28174581,34.1656,-2.673754138,FALSE
2/4/14,1.62,0.262217514,0.915,178.73,181.6,176.2,180.7,4690883,4690883,178.636,0.914685788,-1.477316576,-2.247866988,2.365406644,-2.411458625,-0.195826106,4.364124657,11.69361607,34.7729,1.777518908,TRUE
2/5/14,-4.31,0.231779661,-2.411,174.42,180.59,169.36,178.3,7275952,7275952,173.8008,-2.411458625,-1.518830106,-3.853150322,2.82985497,2.270381837,6.943011123,12.69349845,13.65095746,35.1042,0.952753437,FALSE
2/6/14,3.96,0.259745763,2.27,178.38,180.11,176,176.3,5847953,5847953,178.9969,2.270381837,-0.195826106,0.717068489,0,4.568897859,10.19172553,10.22536159,14.19441641,34.8281,-0.786515574,TRUE
2/7/14,8.15,0.31730226,4.569,186.53,186.63,179.6,181.01,8964054,8964054,183.9248,4.568897859,6.943011123,4.364124657,6.448667466,5.377151129,5.409317536,4.712378706,3.811719294,34.5429,-0.818879009,TRUE
2/10/14,10.03,0.388135593,5.377,196.56,199.3,189.32,189.34,12989286,12989286,195.5501,5.377151129,10.19172553,12.69349845,7.503828484,0.030525031,-0.630850631,1.561864062,6.822344322,34.5153,-0.079900645,TRUE
2/11/14,0.06,0.388559322,0.031,196.62,202.2,192.7,199.19,10734472,10734472,197.4414,0.030525031,5.409317536,10.22536159,8.384322805,-0.661173838,1.530871732,0.818838368,6.601566473,35.3066,2.292606467,TRUE
