Ticker,Date,Headline,Article,Type
XOM,12082018,Qatar Petroleum to buy stake in ExxonMobil Mozambique blocks ,CAIRO Qatar Petroleum said on Saturday it had agreed to buy a 10 percent participating interest in three of ExxonMobil's offshore exploration blocks in Mozambique's Angoche and Zambezi basins.,topStory
XOM,12082018,UPDATE 1-Qatar Petroleum to buy stake in ExxonMobil Mozambique blocks ,CAIRO  Dec 8 Qatar Petroleum said on Saturday it had agreed to buy a 10 percent participating interest in three of ExxonMobil's offshore exploration blocks in Mozambique's Angoche and Zambezi basins.,normal
XOM,12042018,Exclusive: Exxon  Chevron seek to exit Azerbaijan's oil after 25 years ,LONDON Exxon Mobil  and Chevron  are seeking to sell their stakes in Azerbaijan's largest oilfield  marking the retreat of the U.S. majors from the former Soviet state after 25 years as they re-focus on domestic production.,topStory
XOM,12042018,UPDATE 2-Norway's Equinor to start talks with Tanzania over LNG project ,* Tanzania previously estimated LNG project cost at $30 bln (Adds Shell comment),normal
XOM,12032018,Exxon expects 25 percent more oil from Guyana's offshore block ,Exxon Mobil Corp and its partners now expect the large Stabroek oil block offshore Guyana to contain 25 percent more recoverable oil than previously estimated  the companies said on Monday.,topStory
XOM,12032018,Exxon expects 25 pct more oil from Guyana's offshore block ,Dec 3 Exxon Mobil Corp and its partners now expect the large Stabroek oil block offshore Guyana to contain 25 percent more recoverable oil than previously estimated  the companies said on Monday.,normal
XOM,11222018,UPDATE 2-French unions call for strike extension at refineries ,* Exxon Mobil said strike had limited impact (Recast with unions call to intensify strike),topStory
XOM,11162018,Papua New Guinea paves way for long-awaited Exxon  Total LNG expansion ,PORT MORESBY/MELBOURNE A long-awaited project led by France's Total SA that will help double liquefied natural gas (LNG) exports from Papua New Guinea has come another step closer  with the government agreeing to set financial terms early next year.,topStory
XOM,11162018,Papua New Guinea paves way for Exxon  Total LNG expansion ,* Long-awaited expansion to help double LNG exports from nation,normal
XOM,11092018,Exxon Mobil joins Platts' Asia crude and fuel oil MOC process ,SINGAPORE S&P Global Platts has added EXTAP  a unit of Exxon Mobil Corp  to its Asia Market On Close (MOC) assessment process for Asian fuel oil and crude markets  the company said in a subscriber note on Friday.,topStory
XOM,11082018,Algeria's Sonatrach appeals to Sufi preachers to give gas plans a lift ,HASSI MESSAOUD  Algeria  Nov 8 After persuading oil majors to help explore Algeria's vast shale gas reserves  state energy firm Sonatrach has started reaching out to a different kind of partner: mystical Sufi preachers.,normal
XOM,11072018,Ghana approves state oil company as partner in Exxon deepwater field ,ACCRA Ghana has approved state-owned company GOIL as minority local partner for Exxon Mobil's deepwater offshore oilfield  Energy Minister Peter Amewu said on Wednesday.,topStory
