date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap,change1D,change2D,change3D,change7D,future1D,future2D,future3D,future7D,NASDAQclose,NASDAQchange1D,compToNASDAQ
12/9/13,0.158149,0,0.199,79.7742,80.1154,79.5744,79.8657,15519217,15519217,79.8584,,,,,-0.135632824,-1.648653324,-0.500913829,3.860521321,35.6838,,
12/10/13,-0.108205,-0.001356328,-0.136,79.666,79.8865,79.3996,79.8241,9868328,9868328,79.7671,-0.135632824,,,,-1.51507544,-0.365777119,-0.41799513,3.886727086,35.6655,-0.051283776,FALSE
12/11/13,-1.2069,-0.016486533,-1.515,78.459,79.5245,78.3758,79.3913,12811798,12811798,78.8011,-1.51507544,-1.648653324,,,1.166978932,1.113957608,3.140238851,4.689200729,35.6195,-0.128976181,FALSE
12/12/13,0.915604,-0.005009138,1.167,79.3746,79.8075,78.4757,78.6588,15562613,15562613,79.0584,1.166978932,-0.365777119,-0.500913829,,-0.052409713,1.950498018,1.457645141,3.303323733,35.6931,0.206628392,TRUE
12/13/13,-0.041618,-0.00553061,-0.052,79.333,79.8366,78.792,79.1832,10630610,10630610,79.7738,-0.052409713,1.113957608,-0.41799513,,2.003958,1.510846684,4.438127891,4.102454212,35.4723,-0.618606958,FALSE
12/16/13,1.5898,0.014398139,2.004,80.9228,82.3046,80.0156,80.1404,23225988,23225988,81.2557,2.003958,1.950498018,3.140238851,,-0.483423708,2.38634847,2.273277741,3.785336148,35.6287,0.440907412,TRUE
12/17/13,-0.391216,0.009494298,-0.483,80.5316,80.8479,79.9323,80.7564,14920924,14920924,80.5771,-0.483423708,1.510846684,1.457645141,,2.883712729,2.770092734,1.994869095,4.919932052,36.1716,1.523771566,FALSE
12/18/13,2.3223,0.038605213,2.884,82.8539,83.1952,80.748,81.0976,21334488,21334488,81.895,2.883712729,2.38634847,4.438127891,3.860521321,-0.110435357,-0.863930364,-1.03471291,0.773650969,36.4338,0.724878081,TRUE
12/19/13,-0.091562,0.037458226,-0.111,82.7624,82.9039,82.4045,82.8206,12905883,12905883,82.6838,-0.110435357,2.770092734,2.273277741,3.886727086,-0.754328052,-0.925299411,-0.211207022,1.780156206,36.3096,-0.340892248,FALSE
12/20/13,-0.624275,0.029632387,-0.754,82.1381,82.9039,82.0715,82.7291,23333803,23333803,82.3687,-0.754328052,-0.863930364,1.994869095,4.689200729,-0.172270846,0.547249084,2.249747681,1.084271489,36.7697,1.267157997,FALSE
12/23/13,-0.141504,0.027858631,-0.172,81.9966,82.6458,81.8967,82.4045,10131832,10131832,82.1918,-0.172270846,-0.925299411,-1.03471291,3.303323733,0.720761593,2.426198159,3.045370174,1.015164043,36.5857,-0.500412024,FALSE
12/24/13,0.590983,0.035267041,0.721,82.5876,82.7665,81.8468,81.8468,4168300,4168300,82.5484,0.720761593,0.547249084,-0.211207022,4.102454212,1.693232398,2.307973594,1.098591072,0.443407969,36.7237,0.377196555,TRUE
12/26/13,1.3984,0.052796518,1.693,83.986,84.0942,82.7208,82.7541,9539504,9539504,83.6916,1.693232398,2.426198159,2.249747681,3.785336148,0.604505513,-0.584740314,0.297311457,0.168480461,36.7881,0.175363594,TRUE
12/27/13,0.507746,0.059160731,0.605,84.4937,84.6851,84.0609,84.269,10214097,10214097,84.4368,0.604505513,2.307973594,3.045370174,4.919932052,-1.182099967,-0.305348209,-1.73385708,-0.758518091,36.7329,-0.150048521,TRUE
12/30/13,-0.998842,0.046640393,-1.182,83.4949,84.527,83.4949,84.5104,9008884,9008884,83.7892,-1.182099967,-0.584740314,1.098591072,0.773650969,0.887239819,-0.558357457,-0.797533742,-0.548296962,36.6501,-0.225411008,FALSE
12/31/13,0.740806,0.055926603,0.887,84.2357,84.3938,83.5947,83.6447,8509901,8509901,84.0739,0.887239819,-0.305348209,0.297311457,1.780156206,-1.432884157,-1.669957037,-1.521801327,-0.671924137,36.6225,-0.075306752,TRUE
1/2/14,-1.2069,0.040796398,-1.433,83.0287,83.8694,82.7249,83.3867,11030125,11030125,82.9499,-1.432884157,-0.558357457,-1.73385708,1.084271489,-0.240519242,-0.090209771,1.323397813,-1.202957532,36.0704,-1.507543177,FALSE
1/3/14,-0.199773,0.038293082,-0.241,82.829,83.3782,82.5218,83.0454,9295650,9295650,82.9508,-0.240519242,-1.669957037,-0.797533742,1.015164043,0.150671866,1.567687646,1.236040517,-0.392012459,36.6041,1.479606547,FALSE
1/6/14,0.124858,0.039857498,0.151,82.9538,83.3534,82.3099,83.1869,11849986,11849986,82.905,0.150671866,-0.090209771,-1.521801327,0.443407969,1.414883947,1.083735766,0.100417341,-0.883021634,36.6961,0.251337965,TRUE
1/7/14,1.1736,0.054570275,1.415,84.1275,84.2482,82.7541,82.9122,11188673,11188673,83.8777,1.414883947,1.567687646,1.323397813,0.168480461,-0.326528186,-1.296127901,-0.544174022,-2.107515378,36.8709,0.476344898,TRUE
1/8/14,-0.274678,0.051126805,-0.327,83.8528,84.2273,83.3617,84.2273,11180366,11180366,84.0649,-0.326528186,1.083735766,1.236040517,-0.758518091,-0.972776103,-0.218358838,-2.173928599,-1.56846283,36.9721,0.274471195,FALSE
